predicted.protein.intensity.log2.0h	predicted.protein.intensity.log2.1h	predicted.protein.intensity.log2.2h	predicted.protein.intensity.log2.3h	predicted.protein.intensity.log2.4h	predicted.protein.intensity.log2.5h	predicted.protein.intensity.log2.6h	predicted.protein.intensity.log2.7h	predicted.protein.intensity.log2.8h	predicted.protein.intensity.log2.14h	predicted.protein.intensity.log2.19h	predicted.protein.intensity.log2.24h
Cast	23.983000835287	23.4672883048632	22.9553602069158	22.644254206054	23.0194366373961	22.5563354651113	23.0923244578338	23.5164916531758	23.5440421380868	21.3424455720731	20.8408915595987	17.1468561319372
Cdk4	24.8600809536074	25.0291877880893	25.0563985927239	24.9156142871798	24.4972125282844	24.2259341897992	24.1347874365455	24.1596270804214	24.251221636949	23.8111537442076	22.7265551094645	20.9615773925736
Cdk9	22.0336214533957	21.5934057231196	21.9322367558126	23.130891907552	23.2829838187515	23.0564995620686	23.8625197005728	24.1280009750623	23.6212706593232	20.1025296216472	20.3379462643706	19.4445795717662
Cpox	29.2392346226086	28.6865939789644	28.5147981893267	28.8944627818176	29.7087391237287	29.9967431544014	30.4190078841445	30.4978622244034	30.0929194499856	29.866974253191	30.0423247576051	29.6532173469775
Cul4a	23.6461093571387	22.7572204747594	22.0887956571664	21.7823584611068	21.9068301200686	22.2271985607246	22.3963559556781	22.2146826980515	21.6180972293073	21.9676850581762	22.2355036998083	20.9283525125694
Cul4b	25.1757124719725	24.5792371374534	24.3390643391584	24.4987884426744	24.4588349137854	24.2440258125301	24.4789837957084	24.5261867846442	24.3050088672541	23.8032324272363	22.5637179662305	20.6630090269932
Ddx3x	29.0729715895576	29.0670737960046	29.2043004339971	29.5357937304156	29.4835016256116	29.1443711004042	29.4264173315234	29.5422823637031	29.2847857111368	28.0933132172162	27.0913151353537	25.5789229569432
Diap1	25.8805039334346	25.6158435744569	25.7069942172901	26.1674060090824	26.3030325092152	25.9007165228103	25.8702742465592	25.6364724358833	25.1352831831318	24.2133697089288	24.6023474204924	23.7245304434272
Dnmt1	28.7321850757987	28.3182376775478	28.3457077393101	28.7744389081374	28.5187430585115	27.7821984036682	28.1562903979806	28.3102751791624	27.9868157355067	28.7700185199694	28.5442566964145	27.8638670035026
Eif4e	26.7932659710606	26.6533671333039	26.4325392593671	26.1243264264317	26.0437660409475	26.198411409372	26.3415038303695	26.3120650620408	26.0764109805332	22.9710931743972	21.7100333229763	20.7610803876963
Epo	19.0418120288546	18.8384499364898	18.891784970908	19.1597457856378	19.1856873359019	18.9414427952851	19.0865794074896	19.2733293021458	19.4653361575865	18.7301238505066	19.0821553717202	18.6462120775345
Epor	19.0418120288546	18.8384499364898	18.891784970908	19.1597457856378	19.1856873359019	18.9414427952851	19.0865794074896	19.2733293021458	19.4653361575865	18.7301238505066	19.0821553717202	18.6462120775345
Fech	24.9904539497779	24.9945508481109	25.1141401122646	25.3471930156091	25.6622187023608	25.8270180184923	26.1449680317653	26.2894458690704	26.2797950575576	26.7600502945182	27.6823296080395	28.5719746578363
Fxn	23.0717827912645	23.287157004667	23.2705446607155	22.9893656278623	22.8624180547763	23.0871432417092	23.0647779043457	23.0878337837509	23.2437386268087	24.0775520558997	23.8055696384501	23.5923397464379
G6pdx	26.2389327166173	25.9955998611707	26.2777732359806	27.0835460946167	27.7653765245361	28.0663056127751	28.8473751655452	29.3488418924407	29.5018801745301	29.095319914765	28.3944404008753	26.8730821250418
Gata1	24.4307074500346	23.8734550267204	23.5460305653402	23.4669229792668	23.720413317748	23.9877773387872	24.5083558397645	24.8369292380519	24.9807951592854	24.9415122461825	25.4498692239393	25.4860497420055
Gtf2i	27.2882481332057	26.3679031941849	25.9282741284957	26.0827345846335	26.0888607631261	25.7819877095755	26.1674909747759	26.4468704681056	26.3668723208641	24.8522155518906	23.1346647888372	20.404615626614
Hba-a1	28.4624939536969	29.4607194563644	29.4388251166021	28.7291406026155	29.2624862626413	29.4112398338848	30.1874333402167	30.0415408434602	28.6316846878017	31.1052628311751	31.48847347436	33.346762797348
